Nimi;aliases;Isä;attribute:CO2 (kgCO2e);attribute:CO2 (kgCO2e/kg);attribute:CO2 (kgCO2/kWh);attribute:CO2 (gCO2e/l);note;Lähde;
Kirsikka, punnittu kivineen;;;;0,39;;;Cherries, median;https://core.ac.uk/download/pdf/76958641.pdf;
Limanpapu;;;;0,39;;;Beans: gigante/butter, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kaura;;;;0,38;;;Oats, median;https://core.ac.uk/download/pdf/76958641.pdf;
Ruis;;;;0,38;;;Rye, median;https://core.ac.uk/download/pdf/76958641.pdf;
Herne, keitetty, suolaton;;;;0,38;;;Peas, median;https://core.ac.uk/download/pdf/76958641.pdf;
Viinirypäle, keskiarvo, kivetön, vihreä/tumma;Viinirypäle;;;0,37;;;Grapes, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kiivi, punnittu kuorineen;Kiivi;;;0,36;;;Kiwi fruit, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kukkakaali;;;;0,36;;;Cauliflowers and broccoli, median;https://core.ac.uk/download/pdf/76958641.pdf;
Appelsiini, punnittu kuorineen;Appelsiini;;;0,33;;;Orange, median;https://core.ac.uk/download/pdf/76958641.pdf;
Vesimeloni, punnittu kuorineen;Vesimeloni;;;0,32;;;Water melons, median;https://core.ac.uk/download/pdf/76958641.pdf;
Taateli;;;;0,32;;;Dates, median;https://core.ac.uk/download/pdf/76958641.pdf;
Päärynä, punnittu kuorineen;Päärynä;;;0,31;;;Pears, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kvitteni;;;;0,31;;;Quinces, median;https://core.ac.uk/download/pdf/76958641.pdf;
Papu, vihreä papu, keitetty;;;;0,31;;;Beans: green, median;https://core.ac.uk/download/pdf/76958641.pdf;
Omena;;;;0,29;;;Apples, median;https://core.ac.uk/download/pdf/76958641.pdf;
Lanttu;;;;0,29;;;Swedes/rutabage median;https://core.ac.uk/download/pdf/76958641.pdf;
Guava;;;;0,28;;;Guavas, median;https://core.ac.uk/download/pdf/76958641.pdf;
Herkkusieni;;;;0,27;;;Mushrooms, median;https://core.ac.uk/download/pdf/76958641.pdf;
Rypsiöljy;;;;0,262;;;Including iLUC;http://lcafood2014.org/papers/165.pdf;
Plakepapu;;;;0,26;;;Beans: blake, median;https://core.ac.uk/download/pdf/76958641.pdf;
Sitruuna, keskiarvo, punnittu kuorineen;Sitruuna;;;0,26;;;Lemons and limes, median;https://core.ac.uk/download/pdf/76958641.pdf;
Lime;;;;0,26;;;Lemons and limes, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kurpitsa;;;;0,25;;;Pumpkins, median;https://core.ac.uk/download/pdf/76958641.pdf;
Cantaloupe;;;;0,25;;;Rockmelon/cantelope, median;https://core.ac.uk/download/pdf/76958641.pdf;
Punajuuri;;;;0,24;;;Beetroot, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kurkku;;;;0,23;;;Cucumber/gherkins, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kesäkurpitsa, zucchini;;;;0,21;;;Zucchini/button squash, median;https://core.ac.uk/download/pdf/76958641.pdf;
Hedelmät;;;;0,2;;;Hedelmät, marjat;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Peruna, punnittu kuorineen;;;;0,2;;;Peruna, vihannekset, raaka;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Virvoitusjuoma;;;;0,2;;;Virvoitusjuomat;Virvoitusjuoman EDP, www.environdec.com;
Porkkana;;;;0,2;;;Carrots, median;https://core.ac.uk/download/pdf/76958641.pdf;
Lehtiselleri, varsiselleri;;;;0,18;;;Celery, median;https://core.ac.uk/download/pdf/76958641.pdf;
Peruna, punnittu kuorineen;;;;0,18;;;Potatoes, median;https://core.ac.uk/download/pdf/76958641.pdf;
Sipuli, keltasipuli;;;;0,17;;;Onion, median;https://core.ac.uk/download/pdf/76958641.pdf;
Vaatteet;;;0,49;;;;Vaatteet;Envimat, Seppälä et. al. 2009;
Jalkineet;;Vaatteet;0,64;;;;Jalkineet;Envimat, Seppälä et. al. 2009;
