"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:CO₂e (kgCO₂e),attribute:CO₂e (kgCO₂e/kg),attribute:CO₂e (kgCO₂e/kWh),attribute:CO₂e (kgCO₂e/km),attribute:CO₂e (kgCO₂e/l),attribute:CO₂e (kgCO₂e/EUR),note,sourceId
Jams and marmalades,,,,,,,,,0.7,Plant based groceries,2
Jerusalem Artichoke,Maa-artisokka,,,,0.48,,,,,"Artichokes, median",1
Juices,Juomat,,,,,,,,0.7,Alkoholittomat juomat,2
Kangaroo,Kenguru,,Game meat,,4.1,,,,,"Kangaroo, median",1
"Karelian Pasty, Rice Filling, Saarioinen",,"[""Riisipiirakka""]",,,,,,,,,
Kitchen,Keittiö,,Supplies,,,,,,,,
Kitchen paper,Talouspaperi,,Supplies,0.03,,,,,,Paper towel per piece,24
"Kiwi Fruit, With Skin",,,,,0.36,,,,,"Kiwi fruit, median",1
Lamb/mutton,Lammas,,,,25.58,,,,,"Lamb: world average, median",1
"Lemon, With Skin",Sitruuna,,,,0.26,,,,,"Lemons and limes, median",1
"Lentils, Green/Brown Dried","Linssi, vihreä/ruskea, kuivattu",,,,1.03,,,,,"Lentils, median",1
"Lentils, Red, Cooked","Linssi, punainen, keitetty",,,,1.03,,,,,"Lentils, median",1
"Lentils, Red, Dried","Linssi, punainen, kuivattu",,,,1.03,,,,,"Lentils, median",1
Lettuce,,"[""Sesonkisalaattisekoitus""]",,,3.7,,,,,"Lettuce: heated greenhouse, median",1
Lima bean,Limanpapu,"[""Butter bean"", ""Voipapu""]",Pulses vegetables,,0.39,,,,,"Beans: gigante/butter, median",1
Lime,Limetti,,Citrus fruit,,0.26,,,,,"Lemons and limes, median",1
Ling,Molva,,Fish,,6.45,,,,,"Ling common, median",1
"Liquorice, licorice",,,,,,,,,0.7,Plant based groceries,2
Literature,Kirjallisuus,"[""Book"", ""Kirja""]",Supplies,,,,,,0.4,"Sanomalehdet, kirjat ja paperitarvikkeet",2
Lobster,Hummeri,,,,27.8,,,,,"Lobster, median",1
