"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:GHG (kgCO₂e),attribute:GHG (kgCO₂e/kg),attribute:GHG (kgCO₂e/kWh),attribute:GHG (kgCO₂e/km),attribute:GHG (kgCO₂e/l),attribute:GHG (kgCO₂e/EUR),note,sourceId
Cowpea,Lehmänpapu,,Pulses vegetables,,"0,49",,,,,"Cowpeas, median",1
Cranberry,Karpalo,,,,"0,92",,,,,"Cranberries/blueberries, median",1
Cream,,,,,"5,64",,,,,"Cream, median",1
"Cream Cheese, 30% Fat, Flavoured, Creme Bonjour/Cantadou",,"[""Tuorejuusto yrtti""]",,,,,,,,,
Creatine,Kreatiini,"[""Monohydrate""]",Sport food,,,,,,,,
"Crispbread, Rye, 17% Fibre",,"[""Pyöreäruutu""]",,,,,,,,,
Cucumber,Kurkku,,,,"0,23",,,,,"Cucumber/gherkins, median",1
Cucumber,Kurkku,,,,"2,1",,,,,"Cucumbers and gherkins: heated greenhouse, median",1
Cucumber,Kurkku,,,,5,,,,,"Tomaatti, kurkku (kasvihuone talvella)",4
"Date, Dried, With Stone",,,,,"0,32",,,,,"Dates, median",1
"Deep-Fried Vegetable Pasty, Hoviruoka",,"[""Vegaaninen piirakka""]",,,,,,,"0,7",Plant based groceries,2
Delivery,Toimitus,"[""Utkörning""]",Services,,,,,,"0,4",Transportation services,2
Dental care products,Hammashoitotuotteet,"[""Dental flosh"", ""Hammaslanka"", ""Suuvesi""]",Hygiene products,,,,,,,,
Dental care services,Hammashoitopalvelut,,Services,,,,,,"0,2",Health care services,2
Deposit,Pantti,"[""Pullopantti"", ""Panttipalautus""]",Commerce,,,,,,,,
Deposit return,Pullopalautus,,Commerce,,,,,,,,
Dessert sauces,,,,,,,,,"1,1",Animal based groceries,2
Diesel,,,Motor fuel,,,,,3,,,18
Diesel,,,Motor fuel,,,,,"2,64",,,17
Diesel,,,Motor fuel,,,,,"2,66",,,16
Diesel,Diesel,"[""Dieselöljy""]",Motor fuel,,,,,"2,68",,,3
"Diesel, small engine",,,Small engine fuel,,,,,3,,,18
"Diesel, small engine",,,Small engine fuel,,,,,"2,64",,,17
"Diesel, small engine",,,Small engine fuel,,,,,"2,66",,,16
"Diesel, small engine","Diesel, pienkone","[""Dieselöljy""]",Small engine fuel,,,,,"2,68",,,3
"Dipmix, Milk-Free",,,,,,,,,"0,7",Plant based groceries,2
Discount,Alennus,,Commerce,,,,,,,,
Disposable Dish,Kertakäyttöastiat,"[""Kertak.kattaustuott.""]",Kitchen,,,,,,,,
Double Burger,,"[""Kerroshampurilainen""]",,"3,4",,,,,,,50
Duck,Ankka,,Birds,,"3,09",,,,,"Duck, median",1
E10 fuel,,,Motor fuel,,,,,"2,21",,,16
E10 fuel,E10 bensiini,,Motor fuel,,,,,"2,26",,With ethanol combustion,3
"E10 fuel, small engine",,,Small engine fuel,,,,,"2,21",,,16
"E10 fuel, small engine","E10 bensiini, pienkone",,Small engine fuel,,,,,"2,26",,With ethanol combustion,3
E85 fuel,E85 bensiini,,Motor fuel,,,,,"1,61",,,16
"E85 fuel, small engine","E85 bensiini, pienkone",,Small engine fuel,,,,,"1,61",,,16
Earbuds,Nappikuulokkeet,,Electronics,,,,,,,,
Eel,Ankerias,,Fish,,"3,88",,,,,"Eel, median",1
Egg,,,,,,,,,"1,1",Animal based groceries,2
Electric cable,Sähköjohto,"[""Jatkojohto""]",Supplies,,,,,,"0,73",Insulated wires and cables,2
Electricity,Sähkö,,Electricity,,,1,,,,,43
Electronics,Elektroniikka,,Supplies,,,,,,"0,82",Elektroniikka,2
Eraser,Pyyhemuovi,,Supplies,,,,,,"1,01",Plastic products,2
"Fermented milk products, other",,,,,"1,31",,,,,"Yoghurt, median",1
Ferry,,,,,,,,,"1,4",Boat trips,2
Ferry,Autolautta,,Public transport,,,,"0,144",,,"Car ferry, 18 knots",19
Ferry 400km Helsinki-Stockholm,Autolautta 400 km Helsinki-Tukholma,,Public transport,95,,,,,,Autolautta 400 km Helsinki-Tukholma,19
Ferry 80km Helsinki-Tallinn,Autolautta 80 km Helsinki-Tallinna,,Public transport,35,,,,,,Autolautta 80 km Helsinki-Tallinna,19
"Fig, Dried","Viikuna, kuivattu",,,,"0,43",,,,,"Figs, median",1
Fish,,,,,"1,5",,,,,"Kala, raaka",20
Fish,,,,,"3,49",,,,,"Fish: all species, median",1
Fish,,,,,,,,,"1,1",Animal based groceries,2
"Fish Ball, Industrial",,"[""Saaristolaispyörykät""]",,,,,,,,,
Fish dishes,,,,,,,,,"1,1",Animal based groceries,2
Fish oil,Kalaöljy,,Supplies,,,,,,"1,1",Animal based groceries,2
"Fish, Weighted Average",,"[""Fish""]",,,,,,,,,
Fishing equipment,Kalastustarvikkeet,"[""Jäänaskali"", ""Jigger"", ""Kuusamo Sinfonia"", ""Viehe"", ""Onkivapa"", ""Pilkkivapa"", ""Unyl Winter Line""]",Supplies,,,,,,"1,31",Fishing products and services,2
Flight 1603km Helsinki-Düsseldorf,Lento 1603 km Helsinki-Düsseldorf,,Public transport,255,,,,,,Lento 1603 km Helsinki-Düsseldorf,21
Flight 4700km Helsinki-Las Palmas,Lento 4700 km Helsinki-Las Palmas,,Public transport,747,,,,,,Lento 4700 km Helsinki-Las Palmas,21
Flight 515km Helsinki-Oulu,Lento 515 km Helsinki-Oulu,,Public transport,98,,,,,,Lento 515 km Helsinki-Oulu,21
Flight 8317km Helsinki-Bangkok,Lento 8317 km Helsinki-Bangkok,,Public transport,1012,,,,,,Lento 8317 km Helsinki-Bangkok,21
Florence Fennel,,,,,"0,48",,,,,"Fennel, median",1
Flour,,,,,,,,,"0,7",Plant based groceries,2
"Flour, Barley Flour",,,,,"0,43",,,,,"Barley, median",1
"Flour, Barley, Whole Grain Barley Flour",,,,,"0,43",,,,,"Barley, median",1
"Flour, Coarse Wheat Flour",,,,,"0,5",,,,,"Vehnäjauhot, ryynit",4
"Flour, Dark Wheat Flour",,,,,"0,5",,,,,"Vehnäjauhot, ryynit",4
"Flour, Oat Flour","Jauho, kaurajauho",,,,"0,38",,,,,"Oats, median",1
"Flour, Wheat Flour, Semi-Coarse","Jauho, vehnäjauho, puolikarkea",,,,"0,5",,,,,"Vehnäjauhot, ryynit",4
"Flour, Whole Wheat Flour",,,,,"0,5",,,,,"Vehnäjauhot, ryynit",4
Flowers,Kukat,,Supplies,,,,,,"0,6",Garden supplies,2
Flowers,Kukat,,Supplies,,,,,,,,
"French Fries, Frozen",,"[""Kuorellinen tikkuperuna pakaste""]",,,,,,,,,
"Fresh Pasta, Contains Egg",,,,,,,,,"1,1",Animal based groceries,2
Fried onions,Paahdettu sipulirouhe,,Spices,,,,,,,,
"Fried potatoes, French fries",,,,,,,,,"0,7",Plant based groceries,2
"Frozen Vegetable Mix, Broccoli-Carrot-Sweet Pepper, Kartanon Kasvikset",,"[""Cooked vegetables"", ""Keitetyt kasvikset""]",,,,,,,,,
"Frozen Vegetable Mix, Pea-Sweet Corn-Sweet Pepper",,"[""Herne-maissi-paprika""]",,,,,,,,,
"Frozen Vegetable Mix, Root Vegetables",,"[""Keittovihannekset""]",,,,,,,,,
Fruit and berry dishes,,,,,,,,,"0,7",Plant based groceries,2
"Fruit Puree, Unsweetened, 100 % Fruit",,"[""Päärynäsose""]",,,,,,,,,
Fruits,Hedelmät,,,,"0,2",,,,,"Hedelmät, marjat",4
Fruits,Hedelmät,,,,"0,42",,,,,"Fruit (all field grown fruit), median",1
Fruits,,,,,,,,,"0,7",Plant based groceries,2
Furniture,Huonekalut,,Interior design,,,,,,"0,42","Huonekalut, matot",2
Garden Lettuce,,,,,"3,7",,,,,"Lettuce: heated greenhouse, median",1
Garlic,Valkosipuli,,,,"0,57",,,,,"Garlic, median",1
"Gasoline, petrol",Bensiini,,Motor fuel,,,,,2,,,16
"Gasoline, petrol, small engine","Bensiini, pienkone",,Small engine fuel,,,,,2,,,16
"Ginger Root, Raw","Inkivääri, juurakko, raaka",,,,"0,88",,,,,"Ginger, median",1
Glue stick,Liimapuikko,,Supplies,,,,,,"0,46",Factory products,2
Gooseberry,Karviainen,,,,"0,84",,,,,"Currants and gooseberries, median",1
"Grape, Average, Green Or Red",,,,,"0,37",,,,,"Grapes, median",1
"Grapefruit Juice, Unsweetened, Vitamin C",,"[""Verigreippitäysmehu""]",,,,,,,,,
"Grapefruit, Average, With Skin",,,,,"0,51",,,,,"Grapefruit and pomelo, median",1
Guava,Guava,,,,"0,28",,,,,"Guavas, median",1
Haddock,Kolja,,Fish,,"3,41",,,,,"Haddock, median",1
Hair products,Hiustuotteet,"[""Hiuslenkki""]",Supplies,,,,,,"0,4",Personal items,2
Hairdresser,Kampaamo,,Recreational services,,,,,,"0,2",,
"Ham, Cooked, 2% Fat",,"[""Ham"", ""Ylikypsä kinkku""]",,,"5,77",,,,,Ham,1
"Hamburger, Double Burger, Big Mac, Mcdonald'S",,,,"3,4",,,,,,,50
"Hamburger, Double Burger, Hesburger",,,,0,,,,,,,50
Headphones,Kuulokkeet,,Electronics,,,,,,,,
Healthcare products,Terveydenhoitotuotteet,,Supplies,,,,,,"0,51","Kestokulutustavarat, terveydenhoitotuotteet keskiarvo",2
Healthcare services,Terveydenhuoltopalvelut,,Services,,,,,,"0,2",Terveydenhuolto- ja eläinlääkintäpalvelut,2
"Herring, Pickled/Salted, Average",,,,,"1,16",,,,,"Herring, median",1
Honey,Hunaja,"[""Kuningatarhunaja""]",,,"0,75",,,,,"Honey, average, 140-1800 miles",15
Housekeeping products,Kodinhoitotuotteet,,Supplies,,,,,,"0,4",Housekeeping products and services,2
Housekeeping tools,Kodinhoitotyökalut,,Supplies,,,,,,"0,5",Tools and appliances for housekeeping and gardening,2
"Hummus, Chick Pea Paste",,"[""Hummus""]",,,,,,,"0,7",Plant based groceries,2
Hygiene products,Hygieniatuotteet,"[""Nestesaippua"", ""Käsisaippua""]",Supplies,,,,,,"0,4",Personal items,2
"Ice Cream, Cream Based",,,,,,,,"4,2",,"Ice cream, vanilla regular",22
Iceberg Lettuce,,"[""Jäävuorisalaatti"", ""Jääsalaatti""]",,,"0,56",,,,,Including waste,8
Interior design,Sisustus,,Supplies,,,,,,"0,67","Kodintaloustekstiilit, sisustus, astiat keskiarvo",2
iPhone 12 128GB,iPhone 12 128 Gt,,Smartphone,75,,,,,,,23
iPhone 12 256GB,iPhone 12 256 Gt,,Smartphone,85,,,,,,,23
iPhone 12 64GB,iPhone 12 64 Gt,,Smartphone,,,,,,,,23
Jams,,,,,,,,,"0,7",Plant based groceries,2
Jerusalem Artichoke,Maa-artisokka,,,,"0,48",,,,,"Artichokes, median",1
Juices,Juomat,,,,,,,,"0,7",Alkoholittomat juomat,2
Kangaroo,Kenguru,,Game meat,,"4,1",,,,,"Kangaroo, median",1
"Karelian Pasty, Rice Filling, Saarioinen",,"[""Riisipiirakka""]",,,,,,,,,
Kitchen,Keittiö,,Supplies,,,,,,,,
Kitchen paper,Talouspaperi,,Kitchen,"0,03",,,,,,Paper towel per piece,24
