"name[""en-US""]";"name[""fi-FI""]";aliases;parent;attribute:GHG (kgCO₂e);attribute:GHG (kgCO₂e/kg);attribute:GHG (kgCO₂/kWh);attribute:GHG (kgCO₂e/km);attribute:GHG (kgCO₂e/l);attribute:GHG (kgCO₂e/EUR);attribute:Land use (m²/kg);attribute:Land use (m²/l);attribute:Eutrophication (gPO₄eq/kg);attribute:Eutrophication (gPO₄eq/l);attribute:Freshwater footprint (l/kg);attribute:Freshwater footprint (l/l);note;sourceId
Cheese, Gouda, Average, 28-30% Fat;;"[""Gouda"", ""Vanha gouda""]";;;;;;;;;;;;;;;
Cheese, Hard Cheese, Goat Cheese, 20-25% Fat;;"[""Manchego""]";;;;;;;;;;;;;;;
Cheese, Mozzarella Cheese, 20% Fat;;"[""Burrata cheese"", ""Burrata""]";;;;;;;;;;;;;;;
Cheese, ripened cheese <= 17 %;;;;;;;;;;87,79;;;;;;Cheese;1
Cheese, ripened cheese <= 17 %;;;;;;;;;;;;98,37;;;;Cheese;1
Cheese, ripened cheese <= 17 %;;;;;;;;;;;;;;5605;;Cheese;1
Cheese, ripened cheese <= 17 %;;;;;;;;;2,44;;;;;;;Dairy products and ice cream;2
Cheese, ripened cheese <= 17 %;;;;;;;;;2,44;;;;;;;Dairy products and ice cream;2
Cheese, ripened cheese > 17 %;;;;;;;;;;87,79;;;;;;Cheese;1
Cheese, ripened cheese > 17 %;;;;;;;;;;;;98,37;;;;Cheese;1
Cheese, ripened cheese > 17 %;;;;;;;;;;;;;;5605;;Cheese;1
Cheese, ripened cheese > 17 %;;;;;;;;;2,44;;;;;;;Dairy products and ice cream;2
Cheese, ripened cheese > 17 %;;;;;;;;;2,44;;;;;;;Dairy products and ice cream;2
Cheese, Turunmaa/Oltermanni, 30% Fat;;"[""Oltermanni"", ""Kärtner Rahmlaib"", ""Appenzeller Extra"", ""Vuorijuusto"", ""Parmesan""]";;;;;;;;;;;;;;;
Cheese, unripened, fresh cheese <=15 %;;;;;;;;;;87,79;;;;;;Cheese;1
Cheese, unripened, fresh cheese <=15 %;;;;;;;;;;;;98,37;;;;Cheese;1
Cheese, unripened, fresh cheese <=15 %;;;;;;;;;;;;;;5605;;Cheese;1
Cheese, unripened, fresh cheese <=15 %;;;;;;;;;2,44;;;;;;;Dairy products and ice cream;2
Cheese, unripened, fresh cheese <=15 %;;;;;;;;;2,44;;;;;;;Dairy products and ice cream;2
Cheese, unripened, fresh cheese >15 %;;;;;;;;;;87,79;;;;;;Cheese;1
Cheese, unripened, fresh cheese >15 %;;;;;;;;;;;;98,37;;;;Cheese;1
Cheese, unripened, fresh cheese >15 %;;;;;;;;;;;;;;5605;;Cheese;1
Cheese, unripened, fresh cheese >15 %;;;;;;;;;2,44;;;;;;;Dairy products and ice cream;2
Cheese, unripened, fresh cheese >15 %;;;;;;;;;2,44;;;;;;;Dairy products and ice cream;2
Chicken;;;;;9,87;;;;;;;;;;;Poultry Meat;1
Chicken;;;;;;;;;;12,22;;;;;;Poultry Meat;1
Chicken;;;;;;;;;;;;48,7;;;;Poultry Meat;1
Chicken;;;;;;;;;;;;;;660;;Poultry Meat;1
Chicken eggs;;;;;;;;;;6,27;;;;;;Eggs;1
Chicken eggs;;;;;;;;;;;;21,76;;;;Eggs;1
Chicken eggs;;;;;;;;;;;;;;578;;Eggs;1
Children's supplies;Lastentarvikkeet;;Supplies;;;;;;;;;;;;;;
Chocolate Bar, Average;;"[""Mountone"", ""Susu suklaapatukka"", ""Suklaapatukka""]";;;;;;;;;;;;;;;
Chocolate Bar, Caramel And Cookie, Twix;;"[""Kismet""]";;;;;;;;;;;;;;;
Chocolate Biscuit, Industrial, Average;;"[""Nutella B-ready""]";;;;;;;;;;;;;;;
Chocolate Biscuit, Industrial, Average;;"[""Suklaakeksi"", ""Fazerina suklaakeksi""]";;;;;;;;;;;;;;;
Chocolate, Plain, Dark Chocolate;;;;;;;;;;68,96;;;;;;Dark Chocolate;1
Chocolate, Plain, Dark Chocolate;;;;;;;;;;;;87,08;;;;Dark Chocolate;1
Chocolate, Plain, Dark Chocolate;;;;;;;;;;;;;;541;;Dark Chocolate;1
Citrus fruit;;;;;;;;;;0,86;;;;;;Citrus Fruit;1
Citrus fruit;;;;;;;;;;;;2,24;;;;Citrus Fruit;1
Citrus fruit;;;;;;;;;;;;;;83;;Citrus Fruit;1
