"id","code","name","parentId"
93,"FAS18","{""en-US"": ""Fatty acid isomers 18:0"", ""fi-FI"": ""Rasvahappoisomeerit 18:0"", ""sv-SE"": ""Fettsyra isomerer 18:0""}",83
94,"F16D0T","{""en-US"": ""Fatty acid isomers 16:0"", ""fi-FI"": ""Rasvahappoisomeerit 16:0"", ""sv-SE"": ""Fettsyra isomerer 16:0""}",83
95,"F18D1T","{""en-US"": ""Fatty acid isomers 18:1"", ""fi-FI"": ""Rasvahappoisomeerit 18:1"", ""sv-SE"": ""Fettsyra isomerer 18:1""}",83
96,"F18D2CN6","{""en-US"": ""Fatty acid 18:2 cis,cis n-6 (linoleic acid)"", ""fi-FI"": ""Rasvahappo 18:2 cis,cis n-6 (linolihappo)"", ""sv-SE"": ""Fettsyra 18:2 cis,cis n-6 (linolsyra)""}",83
97,"F18D3N3","{""en-US"": ""Fatty acid 18:3 n-3 (alpha-linolenic acid)"", ""fi-FI"": ""Rasvahappo 18:3 n-3 (alfalinoleenihappo)"", ""sv-SE"": ""Fettsyra 18:3 n-3 (alfa-linolensyra)""}",83
98,"F20D4N6","{""en-US"": ""Fatty acid 20:4 n-6 (arachidonic acid)"", ""fi-FI"": ""Rasvahappo 20:4 n-6 (arakidonihappo)"", ""sv-SE"": ""Fettsyra 20:4 n-6 (arakidonsyra)""}",83
99,"F20D5N3","{""en-US"": ""Fatty acid 20:5 n-3 (epa)"", ""fi-FI"": ""Rasvahappo 20:5 n-3 (epa)"", ""sv-SE"": ""Fettsyra 20:5 n-3 (epa)""}",83
100,"F22D6N3","{""en-US"": ""Fatty acid 22:6 n-3 (dha)"", ""fi-FI"": ""Rasvahappo 22:6 n-3 (dha)"", ""sv-SE"": ""Fettsyra 22:6 n-3 (dha)""}",83
101,"STEROL","{""en-US"": ""Sterols"", ""fi-FI"": ""Sterolit"", ""sv-SE"": ""Steroler""}",82
102,"CHOLE","{""en-US"": ""Cholesterol (gc)"", ""fi-FI"": ""Kolesteroli (gc)"", ""sv-SE"": ""Kolesterol (gc)""}",101
103,"STERT","{""en-US"": ""Sterols, total"", ""fi-FI"": ""Sterolit"", ""sv-SE"": ""Steroler, totalt""}",101
104,"AMACID","{""en-US"": ""Amino acids"", ""fi-FI"": ""Aminohapot"", ""sv-SE"": ""Aminosyror""}",76
105,"TRP","{""en-US"": ""Tryptophan"", ""fi-FI"": ""Tryptofaani"", ""sv-SE"": ""Tryptofan""}",104
106,"NATINHCN","{""en-US"": ""Natural/inherent constituents"", ""fi-FI"": ""Luontainen ainesosa"", ""sv-SE"": ""Naturliga ingredienser""}",NULL
107,"FLAVON","{""en-US"": ""Flavonoids"", ""fi-FI"": ""Flavonoidit"", ""sv-SE"": ""Flavonoider""}",106
108,"MYRIC","{""en-US"": ""Myricetin"", ""fi-FI"": ""Myrisetiini"", ""sv-SE"": ""Myricetin""}",107
