"attribute.name[""en-US""]";sourceId;minValue;maxValue;unit;perUnit;minimumAge;maximumAge;sex;weight;pav;pal;note
fatty acid 18:3;;;;;;;;;;;;
fatty acid 18:4 (stearidonic acid);;;;;;;;;;;;
fatty acid 18:3 n-3 (alpha-linolenic acid);;;;;;;;;;;;
fatty acid 18:3 n-6 (GLA, gamma-linolenic acid);;;;;;;;;;;;
fatty acid 18:4 n-3 (parinaric acid);;;;;;;;;;;;
fatty acid 20:2 cis;;;;;;;;;;;;
fatty acid 20:2 n-6;;;;;;;;;;;;
fatty acid 20:3 n-3;;;;;;;;;;;;
fatty acid 20:3 n-6;;;;;;;;;;;;
fatty acid 20:4 n-3;;;;;;;;;;;;
fatty acid 20:4 n-6 (arachidonic acid);;;;;;;;;;;;
fatty acid 20:5 n-3 (EPA);;;;;;;;;;;;
fatty acid 20:5 n-6;;;;;;;;;;;;
fatty acid 20:2 (eicosadienoic acid);;;;;;;;;;;;
fatty acid 20:3 (eicosatrienoic acid);;;;;;;;;;;;
fatty acid 20:4 (eicosatetraenoic acid);;;;;;;;;;;;
fatty acid 20:5 (eicopentaenoic acid);;;;;;;;;;;;
fatty acid 21:5 n-3 (heneicosapentaenoic acid);;;;;;;;;;;;
fatty acid 22:2 n-6;;;;;;;;;;;;
fatty acid 22:3 n-3;;;;;;;;;;;;
fatty acid 22:4 n-3;;;;;;;;;;;;
fatty acid 22:4 n-6;;;;;;;;;;;;
fatty acid 22:5 n-3 (clupanodonic acid);;;;;;;;;;;;
fatty acid 22:5 n-6;;;;;;;;;;;;
fatty acid 22:6 n-3 (DHA);;;;;;;;;;;;
fatty acid 22:2 (docosadienoic acid);;;;;;;;;;;;
fatty acid 22:4 (docosatetraenoic acid);;;;;;;;;;;;
fatty acid 22:5 (docosapentaenoic acid);;;;;;;;;;;;
fatty acid 22:6 (docosahexaenoic acid);;;;;;;;;;;;
fatty acid 22:unidentified;;;;;;;;;;;;
fatty acid 24:X n-3;;;;;;;;;;;;
fatty acid 16:1 trans;;;;;;;;;;;;
fatty acid 18:1 trans;;;;;;;;;;;;
fatty acid, 18:2 trans;;;;;;;;;;;;
fatty acid isomers 18:2 tri;;;;;;;;;;;;
fatty acid 18:3 trans;;;;;;;;;;;;
fatty acid 20:1 trans;;;;;;;;;;;;
fatty acid 20:2 trans;;;;;;;;;;;;
fatty acid trans 22:1;;;;;;;;;;;;
fatty acid 16:1 (palmitoleic acid);;;;;;;;;;;;
fatty acid 16:unidentified;;;;;;;;;;;;
